AQ,DQ,RealMean,Real25,Real50,Real75,Real95,Real99.5
6,25,392998.433008738,63237.029735742,280606.987292477,546645.527992084,1173843.19565804,2697260.34634577
6,26,382898.903512236,50385.6377281853,248942.058528822,515746.250857002,1353612.11089593,2826728.88808249
6,27,356991.561833458,41001.2977543403,249022.201384141,523176.862463762,1196135.93841196,2069234.84107486
6,28,330753.187082372,30112.3836520678,208311.44993942,462470.031229894,1136399.66620105,3074706.69874767
6,29,293494.117473387,21351.841493071,119373.099328452,419344.082514224,1129683.00547397,2182248.04689994
6,30,241612.326442812,13412.9597017349,65761.0623882857,328276.190464427,982179.47276153,2437391.87608086
6,31,230920.56146979,3854.80131330473,54982.600530503,312938.669323623,1031529.62112272,1893731.17984812
6,32,208024.176034815,0,36335.9591598728,289110.766322169,907841.748302508,2400178.72291507
6,33,171492.88965531,0,31303.5098788587,251206.373068575,802081.326137323,1776966.91530599
6,34,176910.150435215,0,22085.574286268,230884.401656342,854826.718666895,2221656.77152522
6,35,137061.155505594,0,7147.75677721491,96543.5557239344,679833.93265462,2323606.99602796
6,36,142206.441018351,0,3684.54597147685,77011.8168150227,767588.954528876,2257549.10131831
6,37,121932.358920054,0,0,66869.1791461183,721716.604999435,1600843.13541421
6,38,101886.417178339,0,0,36744.917643967,676184.935160193,1560492.51345873
6,39,90351.7385461346,0,0,28933.7578699754,581352.730917592,1851667.61976421
6,40,95558.6731196964,0,0,29146.4349169715,614131.89463567,1987814.84480047
7,1,10067.5663428636,0,0,6698.13304412673,27709.2326370597,293698.814544441
7,2,107088.772353852,40974.2355588525,67467.320212179,109065.005059764,321428.781608264,1166409.65421426
7,3,314467.884986953,166172.409932303,240844.468860534,364502.677663316,794877.280800231,1755652.01278698
7,4,530029.931364985,318059.960313476,438939.701212665,652352.970084831,1167791.75603011,1894708.49135576
7,5,684787.140993744,419865.046592118,574479.604026149,816742.733238273,1456808.08233759,2758213.15292048
7,6,793369.577109208,503809.4169135,709977.070860455,976132.5290346,1580684.23788381,3465677.2940978
7,7,879281.838906613,551135.461649488,767801.543272115,1094502.49860006,1736573.19809546,2885227.80710683
7,8,889406.48784146,576315.604808573,779410.780259239,1085787.00855251,1804060.62477749,3133589.39071593
7,9,915602.504727451,586491.786700642,813285.420948037,1155982.19501901,1813888.78793404,2805805.49496856
7,10,943018.791456916,570483.672866257,830322.068405195,1151390.03439275,1992057.97103186,3530897.24934792
7,11,960177.597042741,579517.557747536,836747.085814196,1198726.55100562,2070280.2721953,3786722.01507388
7,12,908946.174065213,516752.385945415,795459.586193371,1162429.23496695,1920482.84696996,3167484.09293915
7,13,898589.037418128,529424.283640916,784043.269588283,1152550.86797395,1957118.28150387,2956295.77914016
7,14,865995.968989909,491271.316281731,732858.532578892,1117779.5879116,1946792.91366853,3301734.32582269
7,15,841240.383170739,450084.844747896,714081.391648799,1079654.62215796,1935522.18409441,3763928.22589696
7,16,799523.420923251,425403.769328892,678313.589492248,1031514.88581101,1783642.21448955,3343298.79876095
7,17,756055.182604013,360169.023180742,623623.651567723,1005505.43249289,1820212.46969995,3288903.0216048
7,18,712456.385328279,356844.470944271,607841.225850898,923444.137663651,1657161.85732301,3282637.93484663
7,19,648825.750394175,307708.371111937,531049.127351919,866966.022758942,1612353.97603936,2537177.19943227
7,20,639520.048559264,265022.964007624,490656.912999036,855161.006426789,1704899.86309507,2811967.82615014
7,21,565675.948007116,246375.156919551,454423.598752539,759215.791475127,1457343.19484843,2861266.2953812
7,22,551815.293417428,213879.925097373,423531.177844293,739551.845850401,1630607.50218806,3313343.00609022
7,23,496539.906347112,146584.044500254,327324.554867218,651716.710799543,1548072.35571799,3293631.9097757
7,24,430641.041286929,81853.9894095701,295582.675875069,601055.495584013,1341178.9279381,2574102.74354007
7,25,409243.041609942,78721.7375287621,284001.776126624,561652.905732666,1249516.46830097,2624806.95070306
7,26,373687.088826215,50601.2565241999,247528.101294734,509088.921312781,1255671.63121676,2849343.59828921
7,27,332047.850679714,33084.3014871094,229028.699123542,486885.408813693,1164946.99443966,2593350.11315209
7,28,318424.285851967,27116.0583959036,173270.061776653,435103.686258867,1184725.90290339,3252992.91607037
7,29,277861.124099587,21373.6880517462,98817.3931819479,377227.590092016,1117915.33122852,2301471.52200526
7,30,251189.837323619,10822.0700413445,70543.2511222284,367490.119239962,924488.920654995,2232115.78996521
7,31,243238.749878416,6020.3450185073,54903.692517218,328446.617375583,1083277.59018243,2092093.85933717
7,32,211711.580158909,0,41871.2173666938,299266.67000678,985037.310347329,2343107.93563073
7,33,207226.423865533,0,30384.565666758,289673.241132407,958893.52100379,2423157.98266987
7,34,145529.500468192,0,23036.6200691602,135602.257298033,753274.469782766,1736342.50581522
7,35,170839.200170262,0,15164.6386855345,224252.404203818,863001.38137369,2589928.17560804
7,36,153839.15599801,0,3413.38272940942,97350.7923799464,846207.002804865,2282812.02890703
7,37,125881.394293527,0,0,63849.5600877687,678083.833056221,1760849.63713244
7,38,112890.972069269,0,0,50162.357686367,614073.953743758,2456492.20905981
7,39,110904.3903532,0,0,40476.3632062801,658374.663280818,2433077.9321089
7,40,81303.3984862357,0,0,28251.2737396049,500976.636646796,1673093.24960686
8,1,9773.47001972765,0,0,7736.03041010343,28539.6259220502,369896.722875067
8,2,107783.692195278,43505.5108854994,68358.1486662465,109821.843979298,358827.362723662,1068970.75964951
8,3,326252.308858765,171479.211091081,247067.237616273,390051.762746597,781419.112578167,1721540.62405888
8,4,543951.594996835,328915.227264599,447528.245678067,660907.395161342,1227285.41075462,2379245.2865214
8,5,697324.20184564,440950.876077289,593675.93106471,834612.253105388,1481750.07064874,2917032.95216328
8,6,801761.461822547,538074.224560053,721756.776714776,990254.645269845,1512315.66805832,2186191.47734772
8,7,883535.084321476,565992.016118126,785173.111003561,1086202.68734751,1783414.43976593,2874874.75272054
8,8,932782.41541586,589434.382428745,814420.825463586,1162637.61218863,1814029.91591009,3394557.04385216
8,9,928321.971131436,590843.197754892,821461.393877811,1141841.60027414,1905754.75885994,2931154.13094038
8,10,982749.569583605,610260.120926777,875598.917229186,1225172.18892024,1990960.88723673,3331968.5532076
